treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "Eilistraean_WPN_Dagger_Uncommon"
new subtable "1,1"
object category "I_WPN_Dagger_Eilistraean_Ritual",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_The_Follow",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Two_Step",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Moonfang",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Twilight_Twirl",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Whisper_of_the_Moon",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Evensong_Fang",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Dancers_Mercy",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Silverthorn_of_Redemption",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Duskslip",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Velve_Maelthra_Silken_Sin",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Luth_Zress_Dance_of_Strength",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Treienil_Silence",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Veldrin_Kiss_Shadow_Kiss",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Quellars_Thorn_Houses_Thorn",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Shyntlara_Flickering_One",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Rapier_Uncommon"
new subtable "1,1"
object category "I_WPN_Rapier_Starlace",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Moonneedle",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Veilpiercer",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Midnight_Aria",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Glinting_Reproach",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Lament_of_Lolth",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Bella_Faer_Beautiful_Blade",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Zinzarith_Silver_Duel",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Lyszuruul_Edge_of_Light",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Zhaunoril_Blade_of_Understanding",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Linthlaren_Moons_Duet",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_RilynQuarvalsharess_Loyal_to_the_Goddess",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Scimitar_Uncommon"
new subtable "1,1"
object category "I_WPN_Scimitar_Windcoil",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Flicker",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Nightgroove",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Wave_of_the_Maiden",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Glimmer",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Crescent_of_Harmony",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Olathsul_Shadow_Wind",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Qiltelarith_Flowing_Crescent",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Rilussta_Beauty_in_Battle",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Sarnel_Ilhar_Moon_of_the_Matron",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Vhidzresdiir_Defiant_Light",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Eilsevir_Eilistraees_Call",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Shortsword_Uncommon"
new subtable "1,1"
object category "I_WPN_Shortsword_Harmony",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_The_Chime",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Ripple",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Bloom",1,0,0,0,0,0,0,0
